frame,time_ns,n_hydrogen_bonds
0,0.0,209
1,0.04,208
2,0.08,205
3,0.12,198
4,0.16,202
5,0.2,208
6,0.24,206
7,0.28,206
8,0.32,217
9,0.36,203
10,0.4,200
11,0.44,206
12,0.48,206
13,0.52,201
14,0.56,209
15,0.6,209
16,0.64,203
17,0.68,217
18,0.72,216
19,0.76,201
20,0.8,208
21,0.84,208
22,0.88,207
23,0.92,200
24,0.96,201
25,1.0,222
26,1.04,212
27,1.08,207
28,1.12,212
29,1.16,217
30,1.2,217
31,1.24,216
32,1.28,217
33,1.32,203
34,1.36,218
35,1.4000000000000001,212
36,1.44,206
37,1.48,211
38,1.52,192
39,1.56,212
40,1.6,214
41,1.6400000000000001,204
42,1.68,213
43,1.72,203
44,1.76,222
45,1.8,199
46,1.84,203
47,1.8800000000000001,206
48,1.92,209
49,1.96,208
50,2.0,209
51,2.04,202
52,2.08,204
53,2.12,210
54,2.16,208
55,2.2,206
56,2.24,203
57,2.2800000000000002,190
58,2.32,207
59,2.36,208
60,2.4,208
61,2.44,201
62,2.48,214
63,2.52,203
64,2.56,201
65,2.6,217
66,2.64,224
67,2.68,210
68,2.72,210
69,2.7600000000000002,216
70,2.8000000000000003,199
71,2.84,202
72,2.88,215
73,2.92,203
74,2.96,200
75,3.0,199
76,3.04,204
77,3.08,203
78,3.12,199
79,3.16,203
80,3.2,210
81,3.24,213
82,3.2800000000000002,201
83,3.3200000000000003,218
84,3.36,207
85,3.4,214
86,3.44,200
87,3.48,201
88,3.52,208
89,3.56,206
90,3.6,217
91,3.64,200
92,3.68,220
93,3.72,207
94,3.7600000000000002,214
95,3.8000000000000003,213
96,3.84,221
97,3.88,210
98,3.92,209
99,3.96,210
100,4.0,216
101,4.04,204
102,4.08,205
103,4.12,205
104,4.16,206
105,4.2,215
106,4.24,212
107,4.28,207
108,4.32,211
109,4.36,207
110,4.4,204
111,4.44,204
112,4.48,198
113,4.5200000000000005,204
114,4.5600000000000005,206
115,4.6000000000000005,202
116,4.64,211
117,4.68,209
118,4.72,209
119,4.76,215
120,4.8,206
121,4.84,203
122,4.88,211
123,4.92,208
124,4.96,205
125,5.0,194
126,5.04,198
127,5.08,203
128,5.12,196
129,5.16,209
130,5.2,219
131,5.24,199
132,5.28,209
133,5.32,208
134,5.36,209
135,5.4,203
136,5.44,185
137,5.48,201
138,5.5200000000000005,206
139,5.5600000000000005,198
140,5.6000000000000005,205
141,5.64,194
142,5.68,190
143,5.72,209
144,5.76,189
145,5.8,203
146,5.84,201
147,5.88,203
148,5.92,199
149,5.96,200
150,6.0,203
151,6.04,208
152,6.08,210
153,6.12,205
154,6.16,196
155,6.2,203
156,6.24,202
157,6.28,207
158,6.32,218
159,6.36,202
160,6.4,199
161,6.44,196
162,6.48,202
163,6.5200000000000005,194
164,6.5600000000000005,208
165,6.6000000000000005,196
166,6.640000000000001,216
167,6.68,199
168,6.72,204
169,6.76,200
170,6.8,197
171,6.84,201
172,6.88,196
173,6.92,210
174,6.96,200
175,7.0,209
176,7.04,208
177,7.08,196
178,7.12,195
179,7.16,196
180,7.2,202
181,7.24,192
182,7.28,208
183,7.32,189
184,7.36,203
185,7.4,208
186,7.44,218
187,7.48,194
188,7.5200000000000005,185
189,7.5600000000000005,199
190,7.6000000000000005,196
191,7.640000000000001,197
192,7.68,205
193,7.72,192
194,7.76,201
195,7.8,201
196,7.84,199
197,7.88,205
198,7.92,195
199,7.96,203
200,8.0,195
201,8.040000000000001,205
202,8.08,210
203,8.120000000000001,200
204,8.16,192
205,8.2,203
206,8.24,204
207,8.28,187
208,8.32,192
209,8.36,195
210,8.4,188
211,8.44,187
212,8.48,182
213,8.52,178
214,8.56,204
215,8.6,188
216,8.64,174
217,8.68,193
218,8.72,187
219,8.76,204
220,8.8,188
221,8.84,200
222,8.88,194
223,8.92,193
224,8.96,197
225,9.0,197
226,9.040000000000001,206
227,9.08,187
228,9.120000000000001,197
229,9.16,195
230,9.200000000000001,200
231,9.24,205
232,9.28,204
233,9.32,204
234,9.36,212
235,9.4,203
236,9.44,209
237,9.48,188
238,9.52,196
239,9.56,208
240,9.6,195
241,9.64,197
242,9.68,205
243,9.72,190
244,9.76,197
245,9.8,206
246,9.84,202
247,9.88,198
248,9.92,213
249,9.96,191
250,10.0,203
251,10.040000000000001,200
252,10.08,194
253,10.120000000000001,194
254,10.16,204
255,10.200000000000001,198
256,10.24,191
257,10.28,200
258,10.32,200
259,10.36,191
260,10.4,197
261,10.44,213
262,10.48,199
263,10.52,196
264,10.56,201
265,10.6,193
266,10.64,201
267,10.68,189
268,10.72,199
269,10.76,201
270,10.8,196
271,10.84,200
272,10.88,187
273,10.92,197
274,10.96,194
275,11.0,204
276,11.040000000000001,202
277,11.08,199
278,11.120000000000001,191
279,11.16,197
280,11.200000000000001,199
281,11.24,200
282,11.28,198
283,11.32,200
284,11.36,200
285,11.4,188
286,11.44,205
287,11.48,193
288,11.52,192
289,11.56,196
290,11.6,188
291,11.64,198
