frame,time_ns,rg_nm
0,0.0,1.8425187982325832
1,0.04,1.8465868461757562
2,0.08,1.845531510648065
3,0.12,1.8498580305738708
4,0.16,1.8463066326491282
5,0.2,1.8473456689972354
6,0.24,1.8487317532539769
7,0.28,1.8534356741050622
8,0.32,1.8498406561025547
9,0.36,1.8550912930871826
10,0.4,1.8584479307674089
11,0.44,1.8524070774380772
12,0.48,1.853710122929657
13,0.52,1.848771715660854
14,0.56,1.8588732927918101
15,0.6,1.8556699050148981
16,0.64,1.8504658069612228
17,0.68,1.8543406681662924
18,0.72,1.8548299918772277
19,0.76,1.8551633145428041
20,0.8,1.846782883076469
21,0.84,1.8513516918386053
22,0.88,1.8513153200090522
23,0.92,1.846476886849752
24,0.96,1.8402421227906978
25,1.0,1.8531774214859584
26,1.04,1.8482759026910363
27,1.08,1.850206845827623
28,1.12,1.8390683581686902
29,1.16,1.8505026325175133
30,1.2,1.8523174170165533
31,1.24,1.8518949226158798
32,1.28,1.8467216459249791
33,1.32,1.848756799556681
34,1.36,1.8510153477241789
35,1.4000000000000001,1.8487288662917465
36,1.44,1.8513803225210763
37,1.48,1.8525716843955533
38,1.52,1.8593202768167247
39,1.56,1.8621602261278984
40,1.6,1.861294908520812
41,1.6400000000000001,1.8513821287053647
42,1.68,1.8556854329672146
43,1.72,1.8571421052967387
44,1.76,1.8558004332442575
45,1.8,1.853310310160968
46,1.84,1.8586930419848913
47,1.8800000000000001,1.8608105447118506
48,1.92,1.8554949500831006
49,1.96,1.8579003334661748
50,2.0,1.8515851338717577
51,2.04,1.8501717305184768
52,2.08,1.8507877156177694
53,2.12,1.846860776816727
54,2.16,1.859344192922207
55,2.2,1.8595829925745861
56,2.24,1.8574666602533942
57,2.2800000000000002,1.859583734668426
58,2.32,1.8482506297383623
59,2.36,1.8514265396493637
60,2.4,1.860842091306464
61,2.44,1.858277226052592
62,2.48,1.8612521471972563
63,2.52,1.8583288167601242
64,2.56,1.865850951049373
65,2.6,1.8604773179131366
66,2.64,1.8549665448725958
67,2.68,1.8475250993172678
68,2.72,1.8497519592524378
69,2.7600000000000002,1.8501589967843959
70,2.8000000000000003,1.8583538654986713
71,2.84,1.8541476523842135
72,2.88,1.8557559020829058
73,2.92,1.8595499157076365
74,2.96,1.858638020903825
75,3.0,1.856027413784869
76,3.04,1.8553675671605154
77,3.08,1.8646899944363082
78,3.12,1.8439129412867488
79,3.16,1.8506045056817535
80,3.2,1.8521057493202815
81,3.24,1.8524625506545138
82,3.2800000000000002,1.84580696789447
83,3.3200000000000003,1.8374146163274174
84,3.36,1.8475161924228858
85,3.4,1.8471786433121438
86,3.44,1.846635337862046
87,3.48,1.8476173271204068
88,3.52,1.8528832795497108
89,3.56,1.8515951635707448
90,3.6,1.855913587935703
