frame,time_ns,rmsd_nm
0,0.0,0.0
1,0.04,0.11786753
2,0.08,0.1359568
3,0.12,0.15840977
4,0.16,0.14605694
5,0.2,0.15495484
6,0.24,0.15141536
7,0.28,0.15044741
8,0.32,0.15478498
9,0.36,0.1567043
10,0.4,0.16202325
11,0.44,0.1632064
12,0.48,0.16242796
13,0.52,0.15469366
14,0.56,0.15654053
15,0.6,0.16469815
16,0.64,0.16150987
17,0.68,0.15597008
18,0.72,0.16065827
19,0.76,0.16408718
20,0.8,0.1615018
21,0.84,0.16558543
22,0.88,0.17049645
23,0.92,0.17263289
24,0.96,0.1807943
25,1.0,0.18660508
26,1.04,0.1809061
27,1.08,0.16705984
28,1.12,0.16143717
29,1.16,0.17282169
30,1.2,0.1850162
31,1.24,0.17399263
32,1.28,0.1656983
33,1.32,0.15960065
34,1.36,0.17302912
35,1.4000000000000001,0.18077385
36,1.44,0.1683639
37,1.48,0.18033077
38,1.52,0.18169752
39,1.56,0.18806845
40,1.6,0.17681728
41,1.6400000000000001,0.1801981
42,1.68,0.18632759
43,1.72,0.18978415
44,1.76,0.18932539
45,1.8,0.17752774
46,1.84,0.18796553
47,1.8800000000000001,0.17721641
48,1.92,0.18459742
49,1.96,0.18629609
50,2.0,0.18065237
51,2.04,0.17190093
52,2.08,0.18194263
53,2.12,0.17732066
54,2.16,0.18330567
55,2.2,0.18990554
56,2.24,0.19196188
57,2.2800000000000002,0.17963623
58,2.32,0.18429567
59,2.36,0.18168795
60,2.4,0.18349889
61,2.44,0.1768898
62,2.48,0.18050548
63,2.52,0.17754366
64,2.56,0.1843287
65,2.6,0.18191037
66,2.64,0.17729491
67,2.68,0.17658597
68,2.72,0.16737446
69,2.7600000000000002,0.1791624
70,2.8000000000000003,0.17355351
71,2.84,0.17746896
72,2.88,0.1749819
73,2.92,0.16932571
74,2.96,0.17562306
75,3.0,0.17212716
76,3.04,0.16665986
77,3.08,0.1740451
78,3.12,0.17139812
79,3.16,0.17661552
80,3.2,0.18034522
81,3.24,0.18164007
82,3.2800000000000002,0.18523815
83,3.3200000000000003,0.1709536
84,3.36,0.16644056
85,3.4,0.1647958
86,3.44,0.16466779
87,3.48,0.17776759
88,3.52,0.17313085
89,3.56,0.17452909
90,3.6,0.18868355
91,3.64,0.18140294
92,3.68,0.18622606
93,3.72,0.17467228
94,3.7600000000000002,0.17261147
95,3.8000000000000003,0.18167837
96,3.84,0.18127705
97,3.88,0.17486012
98,3.92,0.17155659
99,3.96,0.17923397
100,4.0,0.17429475
101,4.04,0.18169512
102,4.08,0.17450541
103,4.12,0.1621386
104,4.16,0.158256
105,4.2,0.18029942
106,4.24,0.17644927
107,4.28,0.16624191
108,4.32,0.1680964
109,4.36,0.17057422
110,4.4,0.16683064
111,4.44,0.1700125
112,4.48,0.1774616
113,4.5200000000000005,0.1750701
114,4.5600000000000005,0.18123148
115,4.6000000000000005,0.18362798
116,4.64,0.17964107
117,4.68,0.18322499
118,4.72,0.18178962
119,4.76,0.1933285
120,4.8,0.19190525
121,4.84,0.18783247
122,4.88,0.1910685
123,4.92,0.19354653
124,4.96,0.18857062
125,5.0,0.17471334
126,5.04,0.18264626
127,5.08,0.18314786
128,5.12,0.18737821
129,5.16,0.18178605
130,5.2,0.17493096
131,5.24,0.17648868
132,5.28,0.17440946
133,5.32,0.19641428
134,5.36,0.18540825
135,5.4,0.18275811
136,5.44,0.1885464
137,5.48,0.19544116
138,5.5200000000000005,0.1968278
139,5.5600000000000005,0.20078203
140,5.6000000000000005,0.1948641
141,5.64,0.19020753
142,5.68,0.19250698
143,5.72,0.19055466
144,5.76,0.19146179
145,5.8,0.18582404
