step,time_ns,potential_energy_kj_mol,temperature_k
10000,0.04,-396712.8217902079,304.82030136034393
20000,0.08,-397711.1245438752,303.38745991999957
30000,0.12,-397462.7862504311,301.1176482304464
40000,0.16,-398672.8034490412,302.26114964278264
50000,0.2,-398376.1521019866,298.3076910754445
60000,0.24,-397725.90764196054,300.27634052560745
70000,0.28,-398767.08829864697,306.2289429720203
80000,0.32,-398539.86891740304,302.4199692833849
90000,0.36,-397995.98486652225,298.42578094976403
100000,0.4,-399132.50343534746,298.8775110848992
110000,0.44,-397173.8253565065,300.7499695220946
120000,0.48,-399324.24975247774,304.40083766343275
130000,0.52,-398385.1816426371,302.75712711492486
140000,0.56,-398085.91433332465,303.6052848259113
150000,0.6,-398591.11094225384,303.0633144553499
160000,0.64,-397551.5023817797,303.5266816665658
170000,0.68,-398026.0096735079,301.76601850344633
180000,0.72,-397625.97449010005,299.7351106962512
190000,0.76,-398399.1896246483,301.62198323904664
200000,0.8,-397359.67856553174,302.4185939925754
210000,0.84,-398071.04580499046,299.3489184577709
220000,0.88,-397544.96382837393,300.5327000220867
230000,0.92,-398671.9938447359,303.22149934634774
240000,0.96,-398137.9199915498,303.29840984008155
250000,1.0,-398295.90516970796,303.65632927326556
260000,1.04,-398223.9367650477,301.27355860202846
270000,1.08,-397225.9640152736,303.5111038533577
280000,1.12,-397419.9704601639,300.9193418748701
290000,1.16,-399042.1245309536,304.08457367303777
300000,1.2,-398451.95977699873,302.29053325988656
310000,1.24,-398935.80014106724,300.1552620385671
320000,1.28,-397427.4945909744,302.62470247870584
330000,1.32,-398609.0263149773,301.22711608930615
340000,1.36,-398076.8829666015,300.96895813561446
350000,1.4,-399266.92334481026,301.27247423812094
360000,1.44,-397282.8960308223,302.59074337487016
370000,1.48,-398660.5121570304,301.20439734304847
380000,1.52,-398796.31490004295,298.99065520188446
390000,1.56,-398059.8957284298,303.24612234141864
400000,1.6,-397657.1961400579,301.83618478263327
410000,1.64,-399441.74299775297,302.3257618629311
420000,1.68,-398128.25311231543,300.82370626780636
430000,1.72,-398534.6214437918,298.39049945091915
440000,1.76,-399164.1334745963,301.59439807915516
450000,1.8,-398566.447022557,301.11378683701963
460000,1.84,-398870.6541752324,302.5530022213082
470000,1.88,-399588.950932035,300.9936075785855
480000,1.92,-398871.6899188624,303.57002977496666
490000,1.96,-398920.05824871757,302.6828349633093
500000,2.0,-397563.96988473623,304.2529674535064
510000,2.04,-398380.1461102299,302.15488197984513
520000,2.08,-397041.6770387213,299.9289473566964
530000,2.12,-399736.1005616486,299.823843401367
540000,2.16,-397380.08176715276,302.2286187255568
550000,2.2,-398461.84510961873,300.7523762810113
560000,2.24,-397763.1971107272,301.85919445579293
570000,2.28,-397345.414715003,303.604226909904
580000,2.32,-398240.7885912191,302.5056869278798
590000,2.36,-399068.5582029624,298.47899412493337
600000,2.4,-398092.03153410135,302.44025482282564
610000,2.44,-397968.08545708307,304.8135306978969
620000,2.48,-398620.7013643794,302.9477106836476
630000,2.52,-397951.776429442,301.54943664884314
640000,2.56,-399074.8536874687,301.3603341625307
650000,2.6,-398215.33947628527,301.92814413157146
660000,2.64,-399166.37059977534,300.9949299735947
670000,2.68,-398938.453938934,300.6042415920832
680000,2.72,-398239.44383892976,300.7706517800381
690000,2.76,-399129.5890242306,301.26028175613635
700000,2.8,-398791.60570712946,302.4578162285476
710000,2.84,-399630.1675116159,301.0184421568579
720000,2.88,-398935.3813399535,302.97963329916917
730000,2.92,-398213.3204846238,301.1467409206483
740000,2.96,-399018.1091579164,300.5055380285982
750000,3.0,-396825.2453569365,302.5656972133963
760000,3.04,-397776.71267375187,300.80167516695343
770000,3.08,-396923.0142835891,300.8629549516788
780000,3.12,-397591.0040775365,301.41899560513787
790000,3.16,-397484.2009058993,302.92509772899064
800000,3.2,-398432.74218919943,301.91515821258133
810000,3.24,-399558.783298281,299.39837603111414
820000,3.28,-398415.23603055463,301.1840324599071
830000,3.32,-397845.2748770558,301.07527869435233
