frame,time_ns,rmsd_nm
0,0.0,0.0
1,0.04,0.13607188
2,0.08,0.15630285
3,0.12,0.16333821
4,0.16,0.15847427
5,0.2,0.1573564
6,0.24,0.17738073
7,0.28,0.16441543
8,0.32,0.18043321
9,0.36,0.2152051
10,0.4,0.21979104
11,0.44,0.2714623
12,0.48,2.4569433
13,0.52,2.4677877
14,0.56,2.4545143
15,0.6,2.460665
16,0.64,2.465081
17,0.68,2.4644394
18,0.72,2.4599261
19,0.76,0.2411256
20,0.8,0.20720093
21,0.84,0.19122887
22,0.88,0.20952557
23,0.92,0.18629491
24,0.96,0.18734226
25,1.0,0.16436252
26,1.04,0.16979626
27,1.08,0.18730511
28,1.12,0.1755079
29,1.16,0.19099681
30,1.2,0.24459171
31,1.24,2.4618416
32,1.28,0.24299371
33,1.32,0.24789365
34,1.36,0.2152132
35,1.4000000000000001,0.25194728
36,1.44,0.21281993
37,1.48,0.29312134
38,1.52,0.25733614
39,1.56,0.24084052
40,1.6,0.23615521
41,1.6400000000000001,0.3057969
42,1.68,0.3302874
43,1.72,0.32320812
44,1.76,0.3311131
45,1.8,0.34550497
46,1.84,0.29214364
47,1.8800000000000001,0.24045026
48,1.92,0.19551456
49,1.96,0.22301957
50,2.0,0.24324052
51,2.04,0.2305203
52,2.08,0.19622491
53,2.12,0.17866541
54,2.16,0.21244778
55,2.2,0.28886586
56,2.24,0.33392182
57,2.2800000000000002,0.32786947
58,2.32,0.32833594
59,2.36,0.3331344
60,2.4,0.38382185
61,2.44,0.4030253
62,2.48,0.4033251
63,2.52,0.42248186
64,2.56,0.40180004
65,2.6,0.42442253
66,2.64,0.42026335
67,2.68,0.40392405
68,2.72,0.39130256
69,2.7600000000000002,0.4270554
70,2.8000000000000003,0.41971466
71,2.84,0.398261
72,2.88,0.38493717
73,2.92,0.37157786
74,2.96,0.35223258
75,3.0,0.33707365
76,3.04,0.38072124
77,3.08,0.34806773
78,3.12,0.36718965
79,3.16,0.38409814
80,3.2,0.35005325
81,3.24,0.40427482
82,3.2800000000000002,0.42838708
83,3.3200000000000003,0.40450275
84,3.36,0.4148465
85,3.4,0.4270717
86,3.44,0.51373035
87,3.48,0.4586332
88,3.52,0.44596505
89,3.56,0.45728123
90,3.6,0.43563956
91,3.64,0.4201433
92,3.68,0.36262125
93,3.72,0.3547198
94,3.7600000000000002,0.37925202
95,3.8000000000000003,0.32855043
96,3.84,0.2728745
97,3.88,0.28929
98,3.92,0.3754936
99,3.96,0.35784155
100,4.0,0.3022357
101,4.04,0.34610596
102,4.08,0.3579776
103,4.12,0.39273113
104,4.16,0.3350112
105,4.2,0.30236802
106,4.24,0.3115915
107,4.28,0.29075322
108,4.32,0.26462337
109,4.36,0.29183987
110,4.4,0.2516641
111,4.44,0.27213416
112,4.48,0.23508121
113,4.5200000000000005,0.2677238
114,4.5600000000000005,0.24194647
115,4.6000000000000005,0.29902202
116,4.64,0.29604083
117,4.68,0.29165506
118,4.72,0.23637605
119,4.76,0.23772237
120,4.8,0.24343349
121,4.84,0.28941923
122,4.88,0.28219914
123,4.92,0.3201751
124,4.96,0.3211595
125,5.0,0.23824854
126,5.04,0.2692784
127,5.08,0.27442843
128,5.12,0.2985214
129,5.16,0.32973668
130,5.2,0.40054494
131,5.24,0.40656132
132,5.28,0.39398682
133,5.32,0.37061712
134,5.36,0.3447743
135,5.4,0.39023215
136,5.44,0.39254066
137,5.48,0.36892384
138,5.5200000000000005,0.3833344
139,5.5600000000000005,0.4076742
140,5.6000000000000005,0.43310106
141,5.64,0.407226
142,5.68,0.43209395
143,5.72,0.48300615
144,5.76,0.50349575
145,5.8,0.48327255
146,5.84,0.49494115
147,5.88,0.51566654
148,5.92,0.517572
149,5.96,0.5144425
150,6.0,0.4834884
151,6.04,0.444328
152,6.08,0.4758963
153,6.12,0.4978824
154,6.16,0.49760634
155,6.2,0.5175888
156,6.24,0.49404606
157,6.28,0.47007364
158,6.32,0.47321358
159,6.36,0.43770865
160,6.4,0.48700094
161,6.44,0.46929973
162,6.48,0.48307997
163,6.5200000000000005,0.48938072
164,6.5600000000000005,0.45378974
165,6.6000000000000005,0.4325767
166,6.640000000000001,0.4365827
167,6.68,0.39696848
168,6.72,0.45250592
169,6.76,0.4138223
170,6.8,0.39331967
171,6.84,0.3762432
172,6.88,0.32856894
173,6.92,0.33743724
174,6.96,0.33113673
175,7.0,0.3394337
176,7.04,0.3429636
177,7.08,0.3733872
178,7.12,0.38477898
179,7.16,0.36290175
180,7.2,0.39423615
181,7.24,0.40406397
182,7.28,0.37059128
183,7.32,0.3481077
184,7.36,0.33104217
185,7.4,0.29762283
186,7.44,0.3545702
187,7.48,0.42279255
