frame,time_ns,rmsd_nm
0,0.0,0.0
1,0.04,0.10742209
2,0.08,0.107859455
3,0.12,0.13022414
4,0.16,0.1329956
5,0.2,0.13948202
6,0.24,0.14689781
7,0.28,0.13902141
8,0.32,0.13474591
9,0.36,0.12967572
10,0.4,0.13489488
11,0.44,0.13350774
12,0.48,0.1345679
13,0.52,0.14301082
14,0.56,0.14065993
15,0.6,0.14343001
16,0.64,0.14023554
17,0.68,0.13748121
18,0.72,0.14299724
19,0.76,0.13615374
20,0.8,0.13610932
21,0.84,0.14023554
22,0.88,0.14731033
23,0.92,0.14913014
24,0.96,0.1448906
25,1.0,0.14475937
26,1.04,0.14545737
27,1.08,0.41272736
28,1.12,0.41401252
29,1.16,0.41213512
30,1.2,0.41159084
31,1.24,0.4111982
32,1.28,0.41459218
33,1.32,0.4110921
34,1.36,2.5455523
35,1.4000000000000001,2.5474262
36,1.44,2.5541515
37,1.48,2.5508847
38,1.52,2.5545733
39,1.56,2.5627902
40,1.6,2.5462842
41,1.6400000000000001,2.5473568
42,1.68,2.5370266
43,1.72,2.543176
44,1.76,0.41184053
45,1.8,0.4141137
46,1.84,0.41762155
47,1.8800000000000001,0.41341642
48,1.92,0.4212263
49,1.96,0.42334658
50,2.0,0.42651433
51,2.04,0.41869885
52,2.08,0.4171331
53,2.12,0.41920248
54,2.16,2.5421302
55,2.2,2.5476074
56,2.24,2.5462122
57,2.2800000000000002,2.5349107
58,2.32,2.5530329
59,2.36,2.551306
60,2.4,2.5563276
61,2.44,2.5460813
62,2.48,2.542598
63,2.52,2.5513809
64,2.56,2.5582788
65,2.6,2.5513918
66,2.64,0.4166213
67,2.68,2.5386152
68,2.72,0.4179348
69,2.7600000000000002,0.41418827
70,2.8000000000000003,0.41577655
71,2.84,0.4204617
72,2.88,0.41894585
73,2.92,0.41687623
74,2.96,2.5563545
75,3.0,0.41795805
76,3.04,2.5589
77,3.08,2.5723815
78,3.12,2.5616765
79,3.16,2.5681589
80,3.2,0.41507214
81,3.24,2.5609384
82,3.2800000000000002,0.4132952
83,3.3200000000000003,0.41244626
84,3.36,2.5606232
85,3.4,2.55963
86,3.44,2.5400028
87,3.48,2.527586
88,3.52,2.536155
89,3.56,2.5362551
90,3.6,2.529378
91,3.64,2.5332496
92,3.68,2.533731
93,3.72,2.5361977
94,3.7600000000000002,0.41271165
95,3.8000000000000003,0.41560096
96,3.84,0.40945983
97,3.88,0.4144025
98,3.92,0.41687417
99,3.96,0.15685146
100,4.0,0.15399888
101,4.04,0.15364087
102,4.08,0.15564206
103,4.12,0.15393996
104,4.16,0.14923726
105,4.2,0.14746125
106,4.24,0.14787513
107,4.28,0.15428609
108,4.32,0.15017202
109,4.36,0.14685957
110,4.4,0.14171535
111,4.44,0.14244494
112,4.48,0.14943826
113,4.5200000000000005,0.14525233
114,4.5600000000000005,0.14148505
115,4.6000000000000005,0.14984524
116,4.64,0.14547518
117,4.68,0.1447758
118,4.72,0.14360155
119,4.76,0.14568731
120,4.8,0.14493531
121,4.84,0.15051678
122,4.88,0.14885764
123,4.92,0.14814505
124,4.96,0.15651652
125,5.0,0.14795543
126,5.04,0.14959858
127,5.08,0.14542471
128,5.12,0.14761202
129,5.16,0.1529435
130,5.2,0.1576658
131,5.24,0.16877334
132,5.28,0.15400448
133,5.32,0.15417548
134,5.36,0.15772879
135,5.4,0.15876731
136,5.44,0.15356354
137,5.48,0.15428329
138,5.5200000000000005,0.16075172
139,5.5600000000000005,0.16120113
140,5.6000000000000005,0.1525547
141,5.64,0.16057159
142,5.68,0.15231529
143,5.72,0.15437844
144,5.76,0.15545881
145,5.8,0.15725847
146,5.84,0.16627634
147,5.88,0.16657479
148,5.92,0.16209757
149,5.96,0.15440361
150,6.0,0.14801818
151,6.04,0.14812902
152,6.08,0.14511251
153,6.12,0.15494117
154,6.16,0.15694918
155,6.2,0.16367002
156,6.24,0.15974367
157,6.28,0.15195188
158,6.32,0.15914908
159,6.36,0.16381113
160,6.4,0.1619216
161,6.44,0.16600727
162,6.48,0.16227067
163,6.5200000000000005,0.15418948
164,6.5600000000000005,0.1669361
165,6.6000000000000005,0.15447913
166,6.640000000000001,0.14695218
167,6.68,0.16077454
168,6.72,0.16369112
169,6.76,0.15319464
170,6.8,0.14980777
171,6.84,0.15701109
172,6.88,0.15756989
173,6.92,0.15454341
174,6.96,0.1595949
175,7.0,0.1653686
176,7.04,0.16200428
177,7.08,0.16623996
178,7.12,0.16389549
179,7.16,0.1621362
180,7.2,0.16388626
181,7.24,0.16269864
182,7.28,0.15981126
183,7.32,0.16548869
184,7.36,0.16428111
185,7.4,0.16642563
186,7.44,0.16844802
187,7.48,0.16915677
188,7.5200000000000005,0.1739405
189,7.5600000000000005,0.16186826
190,7.6000000000000005,0.16587453
191,7.640000000000001,0.1736174
192,7.68,0.16335171
193,7.72,0.16188559
194,7.76,0.16503002
195,7.8,0.16008939
196,7.84,0.16477333
197,7.88,0.16231458
198,7.92,0.16230659
199,7.96,0.16155978
200,8.0,0.1618896
201,8.040000000000001,0.15931319
202,8.08,0.15342565
203,8.120000000000001,0.15708122
204,8.16,0.16059849
205,8.2,0.15572113
206,8.24,0.15899159
