step,time_ns,potential_energy_kj_mol,temperature_k
10000,0.04,-403888.5007142874,302.900424494914
20000,0.08,-403860.98666170426,301.09911150356777
30000,0.12,-404074.1926917238,301.55187219563635
40000,0.16,-404439.89205225767,301.54323799680736
50000,0.2,-403648.58529670746,303.97993411527267
60000,0.24,-404286.7831470384,302.9777410064823
70000,0.28,-403928.6444647524,301.95290595030957
80000,0.32,-405289.5689217886,297.90135379889557
90000,0.36,-404128.08410284924,301.5463682199478
100000,0.4,-404654.7078863359,302.6014360146184
110000,0.44,-405131.5270120471,301.4789119112718
120000,0.48,-403369.082559122,304.19894539433056
130000,0.52,-404744.3757236528,300.5347061861576
140000,0.56,-403286.52189502865,302.93939577301217
150000,0.6,-404763.3309588453,301.20337401933654
160000,0.64,-403312.34661463695,300.2708283754204
170000,0.68,-404042.95093389787,302.413831307736
180000,0.72,-404215.16646359046,299.483472914834
190000,0.76,-404720.12257940485,299.68474626276287
200000,0.8,-404508.90771111404,301.7356945495574
210000,0.84,-404430.35797434044,301.5731577129912
220000,0.88,-404402.3764977092,300.5401840766534
230000,0.92,-403879.80164523004,300.9980313813251
240000,0.96,-404484.7686289409,304.23656024240125
250000,1.0,-404637.07643537084,302.09136615388735
260000,1.04,-404289.0865643667,300.7561173029565
270000,1.08,-404211.29657282727,299.8074510098673
280000,1.12,-404886.12318843044,302.06494185354364
290000,1.16,-404361.8771389285,302.0921487096724
300000,1.2,-403852.3401081553,302.4937041682024
310000,1.24,-404551.29389331606,300.05012155882815
320000,1.28,-404424.54982727533,300.8533107314665
330000,1.32,-403463.09880838403,300.88390866266406
340000,1.36,-403655.3809657092,301.72108684156876
350000,1.4,-404862.3232558707,301.0859384811852
360000,1.44,-404061.02678887174,298.6293915309711
370000,1.48,-404518.7267474013,302.29712615498414
380000,1.52,-404714.3996673622,300.8973947073607
390000,1.56,-403897.41476692935,302.38049443129063
400000,1.6,-404458.56730891485,301.1086065137604
410000,1.64,-403673.3174293197,298.40487627622457
420000,1.68,-404425.7361420875,302.27912737192673
430000,1.72,-403838.0578805222,298.9307537638148
440000,1.76,-404606.7377350526,300.77662026452623
450000,1.8,-405235.30325429025,302.40120607440304
460000,1.84,-404659.18934168434,301.49245012635413
470000,1.88,-404538.94251970784,300.4183923112983
480000,1.92,-404982.9953220277,301.31334919233655
490000,1.96,-404796.3100510107,304.7209361881881
500000,2.0,-405290.62919965107,299.9187826128948
510000,2.04,-404817.58193831705,303.63297496535023
520000,2.08,-405597.27096459595,301.03948075274286
530000,2.12,-404459.16028854134,302.2444862358394
540000,2.16,-404322.122543294,305.13629071372867
550000,2.2,-404422.4664871872,300.6884783979307
560000,2.24,-403726.06995966495,301.0176735315313
570000,2.28,-404223.96797772264,300.062929388511
580000,2.32,-404620.59788302355,301.7157132918444
590000,2.36,-404242.51855431125,301.9765913054054
600000,2.4,-404232.0567765336,302.0830710625653
610000,2.44,-404710.8614514554,302.2852834774362
620000,2.48,-403429.9096135199,299.76221928548824
630000,2.52,-404752.1362493064,302.8312987338964
640000,2.56,-403313.5302476941,301.7516847727664
650000,2.6,-404851.6628997994,300.99636192898356
660000,2.64,-404738.606194373,299.9967251690912
670000,2.68,-404392.14188764524,302.1185208396305
680000,2.72,-403595.5625522719,301.56621905169663
690000,2.76,-405564.8013266183,297.39968337025795
700000,2.8,-404026.0350708766,302.74594798293435
710000,2.84,-404375.09803705406,301.4496964952946
720000,2.88,-403323.41699902504,301.4649563331041
730000,2.92,-403832.2186623581,305.17901825959535
740000,2.96,-405088.1254485331,301.2871596587284
750000,3.0,-403437.6512214446,303.36974928443396
760000,3.04,-404429.7459438343,301.14436931313963
770000,3.08,-403377.29416226153,300.68187884414294
780000,3.12,-404531.5058983413,301.50100606960456
790000,3.16,-404412.3314607779,303.0699521631604
800000,3.2,-403774.331407445,301.11974489110173
810000,3.24,-404274.1467642556,300.7151113798171
820000,3.28,-403171.6499150079,303.9554922895846
830000,3.32,-403736.1436961503,303.75586230880447
840000,3.36,-404174.24486846547,303.187674638433
850000,3.4,-404032.60217970354,301.9104653415641
860000,3.44,-404024.0713004032,299.9350597732249
870000,3.48,-406211.89618704445,301.7171479774504
880000,3.52,-404931.7409435529,302.6115570694391
890000,3.56,-404378.27503151377,300.237334987818
900000,3.6,-404922.5002906602,302.4406729711651
910000,3.64,-403257.5116563996,302.8844864420907
920000,3.68,-403609.3191206802,303.5564931799527
930000,3.72,-404240.0103882055,300.19168590035355
940000,3.76,-404749.81396553153,301.91137832331333
950000,3.8,-404334.62642483483,300.6848525561263
960000,3.84,-405070.55606451863,303.2192898921512
970000,3.88,-404432.75626979466,302.9598465641962
980000,3.92,-403711.7087367943,304.9339217877007
990000,3.96,-403900.3478362444,300.44833811267495
1000000,4.0,-405662.9904568391,303.5595190623218
1010000,4.04,-403262.023045894,302.2206965399723
1020000,4.08,-404355.8165628896,303.43417971074086
1030000,4.12,-403133.8554266824,300.8384682567423
1040000,4.16,-403758.2973358212,303.1718148411882
1050000,4.2,-406264.22052710596,301.29237669729577
1060000,4.24,-404265.85017584474,303.9828034864848
1070000,4.28,-404534.36763447616,303.65199107092826
1080000,4.32,-404364.6923291164,301.0985115441325
1090000,4.36,-404164.92667655903,302.21511430870515
1100000,4.4,-404131.98019055254,301.38883974040624
1110000,4.44,-404337.83582577435,301.0141520304983
1120000,4.48,-404757.70895278454,302.9306833186047
1130000,4.52,-405090.6064600982,303.2765729756208
1140000,4.56,-403622.84448625334,301.40569077497884
1150000,4.6,-405216.60935654957,302.19904582991774
1160000,4.64,-405258.40746697155,300.43657369070553
1170000,4.68,-403876.15015708236,302.63795528458996
1180000,4.72,-404469.23815771705,299.3854708453461
1190000,4.76,-405012.6233949538,302.39958879244716
1200000,4.8,-403955.56683797203,302.02727483508727
1210000,4.84,-405529.814829658,299.91403510779844
1220000,4.88,-405513.8146992049,302.4523852227489
1230000,4.92,-403870.36496273405,304.03001768551934
1240000,4.96,-404365.10417084163,301.6734813646416
1250000,5.0,-405141.19318757346,303.63200981321523
1260000,5.04,-405441.72474703146,298.6373214295935
1270000,5.08,-403728.9840205442,302.32994132757284
1280000,5.12,-403884.84841527184,302.98410579353447
1290000,5.16,-404236.2794244811,301.62073710472555
1300000,5.2,-404287.05821184535,303.03218080393276
1310000,5.24,-404126.9029541055,300.55473961425633
1320000,5.28,-404590.825226536,301.8447306556153
1330000,5.32,-403544.3015993226,300.1135868330001
1340000,5.36,-403721.8499207068,301.7798046106445
1350000,5.4,-404006.5185837697,303.2397667685281
1360000,5.44,-404452.8827122713,301.58536558323885
1370000,5.48,-404920.0635035378,300.47032793023635
1380000,5.52,-404373.4827805045,302.4171441272263
1390000,5.56,-405019.47205436206,301.30883645397574
1400000,5.6,-405019.6669796994,303.2716167889819
1410000,5.64,-405123.94885527575,301.3982825802132
1420000,5.68,-405608.36115922476,301.04970614833485
1430000,5.72,-404095.3643979598,301.18141028696795
1440000,5.76,-405042.752819041,301.5180136153342
1450000,5.8,-403970.24267701386,299.8586301582131
1460000,5.84,-404599.99500168534,301.6221978755244
1470000,5.88,-404832.3428763605,301.35962432442903
1480000,5.92,-404948.4335370064,300.6266304057146
1490000,5.96,-405073.24535285146,300.02873170070194
1500000,6.0,-406027.9442477138,301.5172310595491
1510000,6.04,-405188.9024900454,300.5828072817487
1520000,6.08,-404407.90933065023,304.1079602417158
1530000,6.12,-404052.8667829472,302.9738803979424
1540000,6.16,-404683.747717628,300.0775110113068
1550000,6.2,-405013.0194308723,302.3217766622149
1560000,6.24,-403740.99711005087,303.39570405130655
1570000,6.28,-405140.3804095902,300.40954943092663
1580000,6.32,-405050.823931979,299.79388670959213
1590000,6.36,-404878.9142755284,306.22824297107053
1600000,6.4,-404097.7762917287,301.3082104093477
1610000,6.44,-403384.744650702,299.76782760194817
1620000,6.48,-404054.1740098912,301.4643824588617
1630000,6.52,-403344.58429483627,302.62966019326785
1640000,6.56,-406412.7340671008,302.65178043679344
1650000,6.6,-404882.3028597154,302.72043666433996
1660000,6.64,-404805.0522076683,305.3981860498103
1670000,6.68,-404190.2951105663,300.8849259851847
1680000,6.72,-405099.66100583575,301.54688992380454
1690000,6.76,-403947.9052274367,301.69588854528837
1700000,6.8,-404528.8885139781,301.8743112642922
1710000,6.84,-404776.5975880481,302.0540643281307
1720000,6.88,-404295.84857641486,302.49133041565426
1730000,6.92,-403747.4176497429,301.3075061091411
1740000,6.96,-405319.314357674,300.81752184689435
1750000,7.0,-403626.4970864239,302.162239622825
1760000,7.04,-404414.56071439595,298.7258024036959
1770000,7.08,-404569.19949575164,300.18075620455494
1780000,7.12,-403591.43594076065,301.65167414343
1790000,7.16,-404000.1378841712,302.75189540690116
1800000,7.2,-404635.336353295,304.7462649104326
1810000,7.24,-404751.06281511555,304.77735846029407
1820000,7.28,-404346.2516707573,301.9348549968665
1830000,7.32,-403239.70878118183,302.10229584968596
1840000,7.36,-404649.2931733525,302.5690382051151
1850000,7.4,-404856.87619850156,300.6080838336076
1860000,7.44,-404932.66982593015,303.16164161598186
1870000,7.48,-404786.4885004333,301.14765604743707
1880000,7.52,-405081.9957332448,302.860618490645
1890000,7.56,-405114.39981580316,303.0486927309984
1900000,7.6,-404540.2037084864,298.8320734793131
1910000,7.64,-404059.5112572035,302.2442514691039
1920000,7.68,-403759.9770167775,305.3369641022223
1930000,7.72,-403963.0250272723,302.37068639878396
1940000,7.76,-403931.65798598225,302.53074514203064
1950000,7.8,-405064.9256136983,304.0982043795948
1960000,7.84,-404860.15100854845,301.149116818236
1970000,7.88,-404211.5329363013,300.7964450110822
1980000,7.92,-403194.4168876179,300.29670488671456
1990000,7.96,-403785.6477216603,302.391945830946
2000000,8.0,-404800.4456006987,299.5632675197218
2010000,8.04,-404724.2824994256,299.93318163934066
2020000,8.08,-403351.7521969925,304.78314937310387
2030000,8.12,-405376.98337829486,304.2394556988062
2040000,8.16,-404224.42572692176,303.18511828953496
2050000,8.2,-404778.4611040347,301.7641534949423
2060000,8.24,-404222.26133365184,301.01446505281234
2070000,8.28,-404780.758575317,300.46490221012635
2080000,8.32,-405606.89912357135,298.28858848655807
2090000,8.36,-404751.9614231996,299.9493283737067
2100000,8.4,-404460.7518965041,302.2065583654547
2110000,8.44,-404310.69968211604,302.30578643900594
2120000,8.48,-404516.1546143072,300.47945774772927
2130000,8.52,-405469.624480302,300.886151989248
2140000,8.56,-403799.65502350125,303.4497264856716
2150000,8.6,-404744.230800543,303.0973155304463
