frame,time_ns,n_hydrogen_bonds
0,0.0,201
1,0.04,209
2,0.08,215
3,0.12,213
4,0.16,203
5,0.2,209
6,0.24,187
7,0.28,202
8,0.32,205
9,0.36,202
10,0.4,195
11,0.44,203
12,0.48,192
13,0.52,199
14,0.56,208
15,0.6,207
16,0.64,191
17,0.68,201
18,0.72,212
19,0.76,192
20,0.8,217
21,0.84,208
22,0.88,206
23,0.92,208
24,0.96,214
25,1.0,200
26,1.04,204
27,1.08,211
28,1.12,212
29,1.16,211
30,1.2,211
31,1.24,209
32,1.28,219
33,1.32,210
34,1.36,205
35,1.4000000000000001,210
36,1.44,209
37,1.48,202
38,1.52,197
39,1.56,201
40,1.6,200
41,1.6400000000000001,200
42,1.68,194
43,1.72,203
44,1.76,206
45,1.8,202
46,1.84,194
47,1.8800000000000001,206
48,1.92,207
49,1.96,197
50,2.0,217
51,2.04,193
52,2.08,204
53,2.12,200
54,2.16,219
55,2.2,213
56,2.24,203
57,2.2800000000000002,207
58,2.32,207
59,2.36,196
60,2.4,208
61,2.44,215
62,2.48,212
63,2.52,211
64,2.56,201
65,2.6,218
66,2.64,202
67,2.68,209
68,2.72,202
69,2.7600000000000002,202
70,2.8000000000000003,216
71,2.84,199
72,2.88,196
73,2.92,204
74,2.96,199
75,3.0,202
76,3.04,203
77,3.08,197
78,3.12,213
79,3.16,203
80,3.2,191
81,3.24,208
82,3.2800000000000002,194
83,3.3200000000000003,199
84,3.36,182
85,3.4,201
86,3.44,196
87,3.48,202
88,3.52,206
89,3.56,205
90,3.6,205
91,3.64,200
92,3.68,198
93,3.72,184
94,3.7600000000000002,209
95,3.8000000000000003,189
96,3.84,206
97,3.88,210
98,3.92,197
99,3.96,212
100,4.0,203
101,4.04,191
102,4.08,211
103,4.12,208
104,4.16,196
105,4.2,222
106,4.24,207
107,4.28,217
108,4.32,211
109,4.36,201
110,4.4,204
111,4.44,205
112,4.48,218
113,4.5200000000000005,214
114,4.5600000000000005,204
115,4.6000000000000005,216
116,4.64,224
117,4.68,214
118,4.72,212
119,4.76,208
120,4.8,207
121,4.84,214
122,4.88,214
123,4.92,208
124,4.96,210
125,5.0,211
126,5.04,206
127,5.08,212
128,5.12,205
129,5.16,202
130,5.2,211
131,5.24,208
132,5.28,217
133,5.32,212
134,5.36,210
135,5.4,214
136,5.44,204
137,5.48,214
138,5.5200000000000005,205
139,5.5600000000000005,201
140,5.6000000000000005,212
141,5.64,199
142,5.68,197
143,5.72,212
144,5.76,197
145,5.8,204
146,5.84,197
147,5.88,219
148,5.92,202
149,5.96,199
150,6.0,207
151,6.04,204
152,6.08,202
153,6.12,208
154,6.16,209
155,6.2,205
156,6.24,205
157,6.28,206
158,6.32,210
159,6.36,201
160,6.4,211
161,6.44,200
162,6.48,212
163,6.5200000000000005,200
164,6.5600000000000005,205
165,6.6000000000000005,213
166,6.640000000000001,212
167,6.68,203
168,6.72,212
169,6.76,199
170,6.8,205
171,6.84,210
172,6.88,213
173,6.92,198
174,6.96,208
175,7.0,199
176,7.04,203
177,7.08,210
178,7.12,207
179,7.16,205
180,7.2,200
181,7.24,190
182,7.28,200
183,7.32,216
184,7.36,211
185,7.4,215
186,7.44,207
187,7.48,205
188,7.5200000000000005,206
189,7.5600000000000005,206
190,7.6000000000000005,215
191,7.640000000000001,198
192,7.68,210
193,7.72,206
194,7.76,198
195,7.8,216
196,7.84,210
197,7.88,206
198,7.92,210
199,7.96,210
200,8.0,196
201,8.040000000000001,204
202,8.08,205
203,8.120000000000001,221
204,8.16,188
205,8.2,216
206,8.24,204
207,8.28,204
208,8.32,196
209,8.36,213
210,8.4,198
211,8.44,207
212,8.48,213
213,8.52,193
214,8.56,195
215,8.6,204
216,8.64,206
217,8.68,205
218,8.72,208
219,8.76,201
220,8.8,208
221,8.84,214
222,8.88,201
223,8.92,212
224,8.96,208
225,9.0,204
226,9.040000000000001,200
227,9.08,206
228,9.120000000000001,199
229,9.16,208
230,9.200000000000001,185
231,9.24,209
232,9.28,208
233,9.32,211
234,9.36,202
235,9.4,206
236,9.44,210
237,9.48,205
238,9.52,205
239,9.56,206
240,9.6,201
241,9.64,208
242,9.68,201
243,9.72,218
244,9.76,211
245,9.8,225
246,9.84,206
247,9.88,211
248,9.92,202
249,9.96,189
250,10.0,205
251,10.040000000000001,207
252,10.08,212
253,10.120000000000001,210
254,10.16,212
255,10.200000000000001,210
256,10.24,212
257,10.28,224
258,10.32,213
259,10.36,205
260,10.4,209
261,10.44,212
262,10.48,211
263,10.52,203
264,10.56,206
265,10.6,212
266,10.64,203
267,10.68,213
268,10.72,202
269,10.76,204
270,10.8,216
271,10.84,202
272,10.88,210
273,10.92,216
274,10.96,203
275,11.0,206
276,11.040000000000001,212
277,11.08,198
278,11.120000000000001,218
279,11.16,219
280,11.200000000000001,215
281,11.24,210
