frame,time_ns,rmsd_nm
0,0.0,0.0
1,0.04,0.114557154
2,0.08,0.11758614
3,0.12,0.15320592
4,0.16,0.42732164
5,0.2,0.22874074
6,0.24,0.45065174
7,0.28,0.47480106
8,0.32,0.26806483
9,0.36,0.47928822
10,0.4,0.30822486
11,0.44,0.5276029
12,0.48,0.3277699
13,0.52,0.28065583
14,0.56,0.2398747
15,0.6,0.47342
16,0.64,0.2627367
17,0.68,0.25056258
18,0.72,0.24555494
19,0.76,0.46052277
20,0.8,0.45691276
21,0.84,0.44294527
22,0.88,0.2361766
23,0.92,0.44743335
24,0.96,0.2217416
25,1.0,0.24059746
26,1.04,0.20938708
27,1.08,0.20478606
28,1.12,0.23634113
29,1.16,0.43925968
30,1.2,0.44069096
31,1.24,0.4474353
32,1.28,0.18833663
33,1.32,2.503713
34,1.36,0.18497676
35,1.4000000000000001,0.1767718
36,1.44,0.20073016
37,1.48,0.21841705
38,1.52,0.2334654
39,1.56,0.4706365
40,1.6,0.24247864
41,1.6400000000000001,2.4959097
42,1.68,2.501642
43,1.72,2.4996796
44,1.76,2.4944706
45,1.8,2.500256
46,1.84,2.5019863
47,1.8800000000000001,2.509856
48,1.92,2.5111845
49,1.96,2.5060143
50,2.0,2.5006497
51,2.04,2.5030088
52,2.08,2.4896817
53,2.12,2.5031166
54,2.16,2.5001554
55,2.2,2.502228
56,2.24,2.4966168
57,2.2800000000000002,2.502428
58,2.32,2.504538
59,2.36,2.4979336
60,2.4,2.5030103
61,2.44,2.503303
62,2.48,2.5021534
63,2.52,2.5015967
64,2.56,2.5048206
65,2.6,2.505072
66,2.64,2.4991972
67,2.68,2.504417
68,2.72,2.514036
69,2.7600000000000002,2.5087411
70,2.8000000000000003,2.504961
71,2.84,2.5063944
72,2.88,2.50786
73,2.92,2.5150921
74,2.96,2.509813
75,3.0,2.5138597
76,3.04,2.5086558
77,3.08,2.5098958
78,3.12,2.5093267
79,3.16,2.5093436
80,3.2,2.5116456
81,3.24,2.5026793
82,3.2800000000000002,2.4927988
83,3.3200000000000003,2.4999585
84,3.36,2.4981937
85,3.4,2.5005796
86,3.44,2.5056138
87,3.48,2.5091314
88,3.52,2.5101213
89,3.56,2.5109682
90,3.6,2.0467756
91,3.64,2.05229
92,3.68,2.03194
93,3.72,2.0594227
94,3.7600000000000002,2.0774748
95,3.8000000000000003,2.1072278
96,3.84,2.0556583
97,3.88,2.0047274
98,3.92,2.0572054
99,3.96,2.0273635
100,4.0,2.061659
101,4.04,2.030598
102,4.08,2.0928993
103,4.12,2.0555727
104,4.16,2.046288
105,4.2,2.0240018
106,4.24,2.0179293
107,4.28,2.0618498
108,4.32,2.0843356
109,4.36,2.5408618
110,4.4,2.536794
111,4.44,2.5407495
112,4.48,2.5388374
113,4.5200000000000005,0.21330272
114,4.5600000000000005,2.5397553
115,4.6000000000000005,2.5472999
116,4.64,2.5307393
117,4.68,2.5403912
118,4.72,2.542586
119,4.76,2.5454133
120,4.8,2.5455277
121,4.84,2.544425
122,4.88,2.538377
123,4.92,2.5377915
124,4.96,2.5025113
125,5.0,2.5440514
126,5.04,2.5527256
127,5.08,2.5083005
128,5.12,2.5177503
129,5.16,2.51584
130,5.2,2.5104723
131,5.24,2.5011258
132,5.28,2.5022056
133,5.32,2.5019176
134,5.36,2.507831
135,5.4,2.5102792
136,5.44,2.5034008
137,5.48,2.5055718
138,5.5200000000000005,2.5002139
139,5.5600000000000005,2.4999614
140,5.6000000000000005,2.5037525
141,5.64,2.4986284
142,5.68,2.5003824
143,5.72,2.5038993
144,5.76,2.503365
145,5.8,2.5018444
146,5.84,2.5102353
147,5.88,2.5078266
148,5.92,2.5073137
149,5.96,2.5091424
150,6.0,2.5133963
151,6.04,2.5020907
152,6.08,2.5029662
153,6.12,2.4958057
154,6.16,1.9138099
155,6.2,1.8920146
156,6.24,2.5039554
157,6.28,2.5005267
158,6.32,2.5073738
159,6.36,2.5058389
160,6.4,2.5055358
161,6.44,2.5029507
162,6.48,1.8808829
163,6.5200000000000005,2.5038378
164,6.5600000000000005,1.8762867
165,6.6000000000000005,1.844459
166,6.640000000000001,1.836656
167,6.68,1.8198224
168,6.72,1.7746121
169,6.76,1.8365803
170,6.8,1.7594318
171,6.84,1.7667634
172,6.88,1.8129756
173,6.92,1.7819772
174,6.96,1.7644327
175,7.0,1.7849642
176,7.04,1.7997457
177,7.08,1.7775813
178,7.12,1.7593753
179,7.16,1.7575263
180,7.2,1.7745765
181,7.24,1.7588873
182,7.28,1.7525147
183,7.32,1.7530593
184,7.36,1.7164509
185,7.4,1.7493404
186,7.44,1.7372115
187,7.48,1.6829512
188,7.5200000000000005,1.6683165
189,7.5600000000000005,1.7677195
190,7.6000000000000005,1.7932423
191,7.640000000000001,2.5409596
192,7.68,2.506516
193,7.72,2.539326
194,7.76,2.5440493
195,7.8,2.5501766
196,7.84,2.5490718
197,7.88,2.5436964
198,7.92,2.5008523
199,7.96,2.537222
200,8.0,2.542529
201,8.040000000000001,2.5098214
202,8.08,2.502127
203,8.120000000000001,2.5417886
204,8.16,2.5451632
205,8.2,2.5396998
206,8.24,2.5443087
207,8.28,2.5482514
208,8.32,2.5466409
209,8.36,2.5447056
210,8.4,2.5503173
211,8.44,2.5431888
212,8.48,2.5390842
213,8.52,2.5517604
214,8.56,2.541603
215,8.6,2.540688
216,8.64,2.5487149
217,8.68,2.546431
218,8.72,2.5457227
219,8.76,2.546553
220,8.8,2.5386786
221,8.84,2.5055168
222,8.88,2.5424914
223,8.92,2.550145
224,8.96,2.5079162
225,9.0,2.5036898
226,9.040000000000001,2.5090027
227,9.08,2.5399067
228,9.120000000000001,2.544195
229,9.16,2.5437047
230,9.200000000000001,2.5151026
231,9.24,2.5496035
232,9.28,2.5436428
233,9.32,2.5469203
234,9.36,2.5471864
235,9.4,2.555384
236,9.44,2.5424688
237,9.48,2.541875
238,9.52,2.543994
239,9.56,2.542434
240,9.6,2.549257
241,9.64,2.5424993
242,9.68,2.5468433
243,9.72,2.5019896
244,9.76,2.5023704
245,9.8,2.496931
246,9.84,2.5465972
247,9.88,2.5377014
248,9.92,2.5360732
249,9.96,2.5392063
250,10.0,2.5418031
251,10.040000000000001,2.5475075
252,10.08,2.5478606
253,10.120000000000001,2.5310886
254,10.16,2.543177
255,10.200000000000001,2.5454762
256,10.24,2.5387926
257,10.28,2.5347416
258,10.32,2.5084038
259,10.36,2.511618
260,10.4,2.5449429
261,10.44,2.5439732
262,10.48,2.5434504
263,10.52,2.5466602
264,10.56,2.5501344
265,10.6,2.5455654
266,10.64,2.547518
267,10.68,2.5426543
268,10.72,2.5459669
269,10.76,2.5450113
270,10.8,2.549491
271,10.84,2.5531304
272,10.88,2.541594
273,10.92,2.5420313
274,10.96,2.5321307
275,11.0,2.539618
276,11.040000000000001,2.5367954
277,11.08,2.5428643
278,11.120000000000001,2.5422013
279,11.16,2.5376582
280,11.200000000000001,2.551484
281,11.24,2.5467992
282,11.28,2.5441685
283,11.32,2.5484977
284,11.36,2.5557563
285,11.4,2.5518692
286,11.44,2.5365174
287,11.48,2.5442262
288,11.52,2.538644
289,11.56,2.5384192
290,11.6,2.543532
291,11.64,2.5473309
292,11.68,2.5469167
293,11.72,2.5106182
294,11.76,2.506619
295,11.8,2.5472157
296,11.84,2.5421338
297,11.88,2.553563
298,11.92,2.5464199
299,11.96,2.545541
300,12.0,2.5413346
301,12.040000000000001,2.5387669
302,12.08,2.5385659
303,12.120000000000001,2.541829
304,12.16,2.5407326
305,12.200000000000001,2.5553534
306,12.24,2.561088
307,12.280000000000001,2.5542343
308,12.32,2.5520616
309,12.36,2.5495777
310,12.4,2.5462892
311,12.44,2.5429716
312,12.48,2.5522938
313,12.52,2.5514712
314,12.56,2.543753
315,12.6,2.5386276
316,12.64,2.5507174
317,12.68,2.5526052
318,12.72,2.5398693
319,12.76,2.5468175
320,12.8,2.5395672
321,12.84,2.5444996
322,12.88,2.5457828
323,12.92,2.541313
324,12.96,2.5135493
325,13.0,2.51914
326,13.040000000000001,1.6965425
327,13.08,1.7209784
328,13.120000000000001,1.6916317
329,13.16,1.713963
330,13.200000000000001,1.7571129
331,13.24,2.5170605
332,13.280000000000001,1.7172525
333,13.32,1.6758968
334,13.36,1.7027086
335,13.4,1.6742554
336,13.44,1.6538019
337,13.48,1.6678867
338,13.52,1.6770551
339,13.56,1.7037569
340,13.6,1.7239895
341,13.64,1.7529429
342,13.68,1.7427769
343,13.72,1.7495058
344,13.76,1.6883905
345,13.8,1.7239093
346,13.84,1.6632096
347,13.88,1.6722136
348,13.92,1.7840923
349,13.96,1.7514675
350,14.0,1.769208
