frame,time_ns,n_hydrogen_bonds
0,0.0,215
1,0.04,211
2,0.08,209
3,0.12,214
4,0.16,213
5,0.2,202
6,0.24,207
7,0.28,197
8,0.32,196
9,0.36,198
10,0.4,209
11,0.44,201
12,0.48,209
13,0.52,196
14,0.56,197
15,0.6,201
16,0.64,208
17,0.68,198
18,0.72,202
19,0.76,210
20,0.8,197
21,0.84,201
22,0.88,204
23,0.92,204
24,0.96,200
25,1.0,210
26,1.04,197
27,1.08,197
28,1.12,197
29,1.16,206
30,1.2,189
31,1.24,197
32,1.28,211
33,1.32,202
34,1.36,205
35,1.4000000000000001,219
36,1.44,208
37,1.48,218
38,1.52,203
39,1.56,208
40,1.6,210
41,1.6400000000000001,198
42,1.68,217
43,1.72,206
44,1.76,207
45,1.8,195
46,1.84,203
47,1.8800000000000001,200
48,1.92,201
49,1.96,203
50,2.0,210
51,2.04,192
52,2.08,204
53,2.12,210
54,2.16,212
55,2.2,192
56,2.24,201
57,2.2800000000000002,204
58,2.32,192
59,2.36,197
60,2.4,200
61,2.44,198
62,2.48,198
63,2.52,186
64,2.56,183
65,2.6,195
66,2.64,206
67,2.68,208
68,2.72,195
69,2.7600000000000002,189
70,2.8000000000000003,211
71,2.84,190
72,2.88,195
73,2.92,197
74,2.96,195
75,3.0,205
76,3.04,202
77,3.08,200
78,3.12,193
79,3.16,194
80,3.2,201
81,3.24,200
82,3.2800000000000002,202
83,3.3200000000000003,201
84,3.36,189
85,3.4,192
86,3.44,197
87,3.48,194
88,3.52,188
89,3.56,195
90,3.6,197
91,3.64,200
92,3.68,202
93,3.72,210
94,3.7600000000000002,200
95,3.8000000000000003,200
96,3.84,192
97,3.88,184
98,3.92,197
99,3.96,206
100,4.0,192
101,4.04,197
102,4.08,200
103,4.12,186
104,4.16,203
105,4.2,198
106,4.24,206
107,4.28,195
108,4.32,199
109,4.36,197
110,4.4,193
111,4.44,203
112,4.48,185
113,4.5200000000000005,195
114,4.5600000000000005,206
115,4.6000000000000005,181
116,4.64,187
117,4.68,204
118,4.72,196
119,4.76,206
120,4.8,192
121,4.84,183
122,4.88,200
123,4.92,190
124,4.96,207
125,5.0,199
126,5.04,207
127,5.08,197
128,5.12,194
129,5.16,199
130,5.2,192
131,5.24,192
132,5.28,187
133,5.32,199
134,5.36,200
135,5.4,199
136,5.44,195
137,5.48,194
138,5.5200000000000005,194
139,5.5600000000000005,194
140,5.6000000000000005,195
141,5.64,200
142,5.68,196
143,5.72,192
144,5.76,195
145,5.8,192
146,5.84,182
147,5.88,193
148,5.92,182
149,5.96,191
150,6.0,185
151,6.04,186
152,6.08,180
153,6.12,190
154,6.16,200
155,6.2,198
156,6.24,203
157,6.28,199
158,6.32,184
159,6.36,202
160,6.4,200
161,6.44,201
162,6.48,198
163,6.5200000000000005,189
164,6.5600000000000005,191
165,6.6000000000000005,197
166,6.640000000000001,200
167,6.68,191
168,6.72,208
169,6.76,196
170,6.8,190
171,6.84,197
172,6.88,187
173,6.92,199
174,6.96,193
175,7.0,189
176,7.04,198
177,7.08,197
178,7.12,203
179,7.16,185
180,7.2,195
181,7.24,197
182,7.28,192
183,7.32,192
184,7.36,185
185,7.4,199
186,7.44,191
187,7.48,207
188,7.5200000000000005,194
189,7.5600000000000005,199
