frame,time_ns,WAT_O_HPN_C1_HPN_O1_deg
0,0.0,44.01772689819336
1,0.04,105.5007095336914
2,0.08,121.7421875
3,0.12,34.79261779785156
4,0.16,68.0967025756836
5,0.2,34.68611145019531
6,0.24,32.996334075927734
7,0.28,27.158126831054688
8,0.32,26.327938079833984
9,0.36,31.475887298583984
10,0.4,39.82991409301758
11,0.44,23.2823543548584
12,0.48,26.65708351135254
13,0.52,24.52462387084961
14,0.56,30.44973373413086
15,0.6,41.112640380859375
16,0.64,34.82476806640625
17,0.68,39.9775390625
18,0.72,40.347530364990234
19,0.76,46.371864318847656
20,0.8,34.40580749511719
21,0.84,46.74996566772461
22,0.88,28.183950424194336
23,0.92,28.76227378845215
24,0.96,49.755882263183594
25,1.0,31.81197738647461
26,1.04,57.60210418701172
27,1.08,44.57798767089844
28,1.12,53.107418060302734
29,1.16,44.19942092895508
30,1.2,33.962181091308594
31,1.24,35.656681060791016
32,1.28,39.70361328125
33,1.32,37.900672912597656
34,1.36,39.34127426147461
35,1.4000000000000001,37.92760467529297
36,1.44,35.11476516723633
37,1.48,46.6313591003418
38,1.52,45.14173889160156
39,1.56,49.60414123535156
40,1.6,39.01832962036133
41,1.6400000000000001,26.226913452148438
42,1.68,33.359012603759766
43,1.72,48.317893981933594
44,1.76,26.15342903137207
45,1.8,17.331863403320312
46,1.84,37.17622375488281
47,1.8800000000000001,39.7768440246582
48,1.92,35.90816879272461
49,1.96,46.875919342041016
50,2.0,49.42972183227539
51,2.04,54.397918701171875
52,2.08,22.263206481933594
53,2.12,37.476707458496094
54,2.16,45.04801940917969
55,2.2,50.54403305053711
56,2.24,46.53315734863281
57,2.2800000000000002,34.2219352722168
58,2.32,36.37401580810547
59,2.36,24.661319732666016
60,2.4,42.084110260009766
61,2.44,45.20830154418945
62,2.48,22.63994789123535
63,2.52,39.6790771484375
64,2.56,39.2880744934082
65,2.6,41.80398178100586
66,2.64,49.529144287109375
67,2.68,36.00800704956055
68,2.72,39.08257293701172
69,2.7600000000000002,28.943078994750977
70,2.8000000000000003,38.451194763183594
71,2.84,46.9271240234375
72,2.88,36.64759826660156
73,2.92,30.423194885253906
74,2.96,34.15015411376953
75,3.0,37.671627044677734
76,3.04,42.35646438598633
77,3.08,28.810184478759766
78,3.12,36.16973114013672
79,3.16,40.834903717041016
80,3.2,52.32251739501953
81,3.24,34.76652526855469
82,3.2800000000000002,39.85023880004883
83,3.3200000000000003,35.97875213623047
84,3.36,42.99449157714844
