frame,time_ns,n_ligand_hydrogen_bonds
0,0.0,4
1,0.04,5
2,0.08,5
3,0.12,5
4,0.16,4
5,0.2,4
6,0.24,4
7,0.28,5
8,0.32,5
9,0.36,6
10,0.4,4
11,0.44,5
12,0.48,7
13,0.52,6
14,0.56,6
15,0.6,7
16,0.64,6
17,0.68,6
18,0.72,7
19,0.76,6
20,0.8,7
21,0.84,7
22,0.88,6
23,0.92,7
24,0.96,5
25,1.0,6
26,1.04,7
27,1.08,8
28,1.12,7
29,1.16,7
30,1.2,7
31,1.24,7
32,1.28,7
33,1.32,7
34,1.36,7
35,1.4000000000000001,7
36,1.44,7
37,1.48,7
38,1.52,8
39,1.56,7
40,1.6,7
41,1.6400000000000001,7
42,1.68,8
43,1.72,8
44,1.76,8
45,1.8,8
46,1.84,7
47,1.8800000000000001,7
48,1.92,7
49,1.96,7
50,2.0,7
51,2.04,8
52,2.08,7
53,2.12,7
54,2.16,8
55,2.2,8
56,2.24,8
57,2.2800000000000002,8
58,2.32,8
59,2.36,8
60,2.4,7
61,2.44,8
62,2.48,8
63,2.52,8
64,2.56,8
65,2.6,8
66,2.64,8
67,2.68,8
68,2.72,8
69,2.7600000000000002,8
70,2.8000000000000003,8
71,2.84,8
72,2.88,7
73,2.92,8
74,2.96,8
75,3.0,6
76,3.04,8
77,3.08,8
78,3.12,8
79,3.16,8
80,3.2,8
81,3.24,8
82,3.2800000000000002,8
83,3.3200000000000003,8
84,3.36,8
85,3.4,8
86,3.44,8
87,3.48,7
88,3.52,8
89,3.56,8
90,3.6,8
91,3.64,8
92,3.68,7
93,3.72,7
94,3.7600000000000002,7
95,3.8000000000000003,7
96,3.84,7
97,3.88,7
98,3.92,7
99,3.96,8
100,4.0,7
101,4.04,5
102,4.08,6
103,4.12,7
104,4.16,7
105,4.2,7
106,4.24,7
107,4.28,8
108,4.32,8
109,4.36,7
110,4.4,8
111,4.44,8
112,4.48,8
113,4.5200000000000005,7
114,4.5600000000000005,8
115,4.6000000000000005,8
116,4.64,6
117,4.68,7
118,4.72,7
119,4.76,7
120,4.8,8
121,4.84,7
122,4.88,7
123,4.92,7
124,4.96,7
125,5.0,8
126,5.04,7
127,5.08,8
128,5.12,8
129,5.16,7
130,5.2,7
131,5.24,7
