frame,time_ns,rmsd_nm
0,0.0,0.0
1,0.04,0.108195305
2,0.08,0.11704863
3,0.12,0.12357869
4,0.16,0.13591562
5,0.2,0.14530586
6,0.24,0.13941233
7,0.28,0.14457875
8,0.32,0.15156198
9,0.36,0.16561523
10,0.4,0.15349321
11,0.44,0.15944733
12,0.48,0.16437574
13,0.52,0.15626106
14,0.56,0.15795454
15,0.6,0.15214504
16,0.64,0.15453644
17,0.68,0.15678535
18,0.72,0.16245422
19,0.76,0.16558002
20,0.8,0.16556698
21,0.84,0.17254685
22,0.88,0.17160055
23,0.92,0.17126672
24,0.96,0.17724031
25,1.0,0.16900478
26,1.04,0.1730555
27,1.08,0.16345216
28,1.12,0.16861844
29,1.16,0.16740118
30,1.2,0.17066292
31,1.24,0.17905624
32,1.28,0.18000533
33,1.32,0.16810279
34,1.36,0.17252807
35,1.4000000000000001,0.16722177
36,1.44,0.16692835
37,1.48,0.17421342
38,1.52,0.16926908
39,1.56,0.16126944
40,1.6,0.17155272
41,1.6400000000000001,0.16140063
42,1.68,0.16631529
43,1.72,0.17298435
44,1.76,0.16752756
45,1.8,0.18206547
46,1.84,0.17573032
47,1.8800000000000001,0.17844008
48,1.92,0.17231265
49,1.96,0.17368951
50,2.0,0.17689027
51,2.04,0.16814262
52,2.08,0.17370568
53,2.12,0.16980536
54,2.16,0.1828821
55,2.2,0.17425309
56,2.24,0.17466778
57,2.2800000000000002,0.17152503
58,2.32,0.16826586
59,2.36,0.17279324
60,2.4,0.17437327
61,2.44,0.18479687
62,2.48,0.17288445
63,2.52,0.18060061
64,2.56,0.18184948
65,2.6,0.17603482
66,2.64,0.18235822
67,2.68,0.18144049
68,2.72,0.1782851
69,2.7600000000000002,0.17682555
70,2.8000000000000003,0.18398523
71,2.84,0.17894526
72,2.88,0.17873998
73,2.92,0.19424555
74,2.96,0.19334514
75,3.0,0.19003293
76,3.04,0.17939845
77,3.08,0.17804752
78,3.12,0.18138692
79,3.16,0.17049202
80,3.2,0.19448999
81,3.24,0.17862272
82,3.2800000000000002,0.18509696
83,3.3200000000000003,0.17391567
84,3.36,0.18100196
85,3.4,0.17788249
86,3.44,0.18225399
87,3.48,0.17624448
88,3.52,0.17821847
89,3.56,0.17999093
90,3.6,0.18611506
91,3.64,0.187183
92,3.68,0.17857073
93,3.72,0.16928312
94,3.7600000000000002,0.17131338
95,3.8000000000000003,0.1716685
96,3.84,0.1705566
97,3.88,0.17822088
98,3.92,0.18091483
99,3.96,0.17968953
100,4.0,0.17468385
101,4.04,0.18459693
102,4.08,0.18170334
103,4.12,0.1849464
104,4.16,0.17910206
105,4.2,0.17915513
106,4.24,0.18151784
107,4.28,0.16915806
108,4.32,0.17715622
109,4.36,0.17866746
110,4.4,0.17163831
111,4.44,0.17115447
112,4.48,0.17765045
113,4.5200000000000005,0.17860702
114,4.5600000000000005,0.1721396
115,4.6000000000000005,0.1691989
116,4.64,0.16864406
117,4.68,0.16803983
118,4.72,0.16902268
119,4.76,0.17495932
120,4.8,0.17226
121,4.84,0.17735237
122,4.88,0.18813471
123,4.92,0.18226583
124,4.96,0.18229307
125,5.0,0.17612068
126,5.04,0.17563689
127,5.08,0.18242809
128,5.12,0.18357278
129,5.16,0.18669549
130,5.2,0.18333617
131,5.24,0.18916841
132,5.28,0.18583636
133,5.32,0.18084319
134,5.36,0.17612435
135,5.4,0.17261067
136,5.44,0.16949986
137,5.48,0.17232141
138,5.5200000000000005,0.18764508
139,5.5600000000000005,0.17731583
140,5.6000000000000005,0.1732887
141,5.64,0.16737925
142,5.68,0.17234147
143,5.72,0.17734264
144,5.76,0.17624815
145,5.8,0.17384736
146,5.84,0.17106359
147,5.88,0.1767828
148,5.92,0.17174648
149,5.96,0.1793262
150,6.0,0.18077034
151,6.04,0.17117718
152,6.08,0.18022954
153,6.12,0.17456883
154,6.16,0.17907795
155,6.2,0.1714923
156,6.24,0.17852841
157,6.28,0.17046288
158,6.32,0.18147977
159,6.36,0.17161818
160,6.4,0.17178042
161,6.44,0.17211325
162,6.48,0.1806054
163,6.5200000000000005,0.1752356
164,6.5600000000000005,0.18269661
165,6.6000000000000005,0.17488772
166,6.640000000000001,0.1807106
167,6.68,0.1803613
168,6.72,0.18091245
169,6.76,0.18643272
170,6.8,0.18600364
171,6.84,0.17638166
172,6.88,0.18464255
173,6.92,0.18226466
