run,step,time_ns_within_run,potential_energy_kj_mol,temperature_k
run_001,10000,0.04,-403421.58548004157,301.27261476973933
run_001,20000,0.08,-404934.3508881936,301.2930695358651
run_001,30000,0.12,-404855.8338223612,300.2842634299733
run_001,40000,0.16,-402099.03195918887,303.7932994310602
run_001,50000,0.2,-403512.5907342592,304.04298324716177
run_001,60000,0.24,-404797.27005403326,303.5491728409596
run_001,70000,0.28,-403554.2193077917,302.53105251120695
run_001,80000,0.32,-403210.78828108404,298.4863312319384
run_001,90000,0.36,-402688.63015867374,300.08665577865105
run_001,100000,0.4,-403260.4568053258,299.35320630756974
run_001,110000,0.44,-404665.437082201,300.3274167248356
run_001,120000,0.48,-405375.69588527456,299.04059277731585
run_001,130000,0.52,-404183.5499004484,302.5740492644917
run_001,140000,0.56,-404143.4445658941,300.9830911221657
run_001,150000,0.6,-404242.60118076415,303.6641004491025
run_001,160000,0.64,-404391.46451974264,299.58650543856044
run_001,170000,0.68,-404931.9188831579,300.7265716571803
run_001,180000,0.72,-404060.3937740938,302.0199964412176
run_001,190000,0.76,-404357.47096150275,302.92198901073317
run_001,200000,0.8,-403826.4859778846,300.1692053705158
run_001,210000,0.84,-403668.8276137416,299.992156846371
run_001,220000,0.88,-404166.2932283832,299.6147872835608
run_001,230000,0.92,-404671.720603795,300.3790754454083
run_001,240000,0.96,-404612.3674733755,301.5371961259657
run_001,250000,1.0,-404551.5003198683,301.64560116837976
run_001,260000,1.04,-404282.69088371075,303.6149463937696
run_001,270000,1.08,-404876.7582777231,301.71267923433555
run_001,280000,1.12,-403891.6931109552,301.2121636305641
run_001,290000,1.16,-405353.7577813668,302.9460442331413
run_001,300000,1.2,-403458.7168004003,303.8075968951379
run_001,310000,1.24,-402243.14500655397,301.4573860117071
run_001,320000,1.28,-405385.15100194956,300.3266861974739
run_001,330000,1.32,-405241.3873613232,301.4957386981929
run_001,340000,1.36,-403973.13548630127,304.5366110215236
run_001,350000,1.4,-404899.2071301078,301.04842114050615
run_001,360000,1.44,-404253.06071146927,302.02344035592245
run_001,370000,1.48,-405745.4450479464,303.8451146932104
run_001,380000,1.52,-405071.2281782953,300.3726311504682
run_001,390000,1.56,-403332.0978220992,301.9463175387441
run_001,400000,1.6,-403775.55812508054,300.1738494373148
run_001,410000,1.64,-404903.8475317422,300.2718183745626
run_001,420000,1.68,-404160.9041879431,300.68370535521007
run_001,430000,1.72,-402596.44327182206,303.6226169310668
run_001,440000,1.76,-405463.4697673286,299.7230096941345
run_001,450000,1.8,-404281.4784302709,301.08562585542376
run_001,460000,1.84,-405776.12197384983,299.8894655715355
run_001,470000,1.88,-404673.56900369027,302.1124603329902
run_001,480000,1.92,-404701.5237628226,302.6194985024906
run_001,490000,1.96,-404888.67170709185,303.3989972876178
run_001,500000,2.0,-404569.6179717828,303.46795385250357
run_001,510000,2.04,-404909.08236647234,304.2612022061873
run_001,520000,2.08,-404060.66739497473,302.0199964412176
run_001,530000,2.12,-403353.5895007886,299.0513419656371
run_001,540000,2.16,-404593.73525370145,300.2220120626568
run_001,550000,2.2,-403449.04378583,302.2883608855667
run_001,560000,2.24,-404881.0954680345,303.9766096183047
run_001,570000,2.28,-404169.9764406334,301.5208375311177
run_001,580000,2.32,-404611.88928314555,299.86822809752226
run_001,590000,2.36,-405044.8874807225,304.2454958679121
run_001,600000,2.4,-405225.3680391114,303.5000187856267
run_001,610000,2.44,-405483.9079604447,301.69167657268855
run_001,620000,2.48,-404861.8697751302,301.9206447200352
run_001,630000,2.52,-403440.6944209784,301.8337641445265
run_001,640000,2.56,-405267.9994731336,300.37359649019606
run_001,650000,2.6,-404536.2239959063,301.27352792894135
run_001,660000,2.64,-404944.53734545875,304.2397821003336
run_001,670000,2.68,-403781.42220795806,301.8832834635402
run_001,680000,2.72,-405127.8399507529,301.9457435529599
run_001,690000,2.76,-403785.13501914986,302.44500682411154
run_001,700000,2.8,-403507.9166728491,300.3732312265152
run_001,710000,2.84,-403831.7602838769,301.0097814611283
run_001,720000,2.88,-405126.452378392,303.7509810246112
run_001,730000,2.92,-403737.86334108654,299.5473178636613
run_001,740000,2.96,-403333.59418401844,303.86731750695157
run_001,750000,3.0,-405085.60622741026,299.4979550862251
run_001,760000,3.04,-403631.0436215354,303.553373373289
run_001,770000,3.08,-403638.1985401041,304.33628998285815
run_001,780000,3.12,-405132.92178823845,301.2774153781158
run_001,790000,3.16,-404266.71109671425,303.0857836813169
run_001,800000,3.2,-404840.9644220802,300.3188591185993
