frame,time_ns,rg_nm
0,0.0,1.8572438110172322
1,0.04,1.8522111963372732
2,0.08,1.8603249922568028
3,0.12,1.8565682722125978
4,0.16,1.8574806737609324
5,0.2,1.8608754141604824
6,0.24,1.8532020675778844
7,0.28,1.8632977806433428
8,0.32,1.8622798474672042
9,0.36,1.851344201568243
10,0.4,1.848781066051625
11,0.44,1.8548012606103204
12,0.48,1.8554461184769957
13,0.52,1.8616176727004135
14,0.56,1.8661224980449094
15,0.6,1.855557762663494
16,0.64,1.8547190710119523
17,0.68,1.8619400867071858
18,0.72,1.856813190838993
19,0.76,1.866304136132015
20,0.8,1.8571312986963004
21,0.84,1.8590404803717093
22,0.88,1.858425059378818
23,0.92,1.8554530988317761
24,0.96,1.8476693145929994
25,1.0,1.8606574771841
26,1.04,1.8649195284676563
27,1.08,1.8609032271886314
28,1.12,1.8653674740621553
29,1.16,1.8586146621184443
30,1.2,1.8669614604074216
31,1.24,1.8684650770192692
32,1.28,1.8643311448443907
33,1.32,1.8608428939105792
34,1.36,1.871937951277364
35,1.4000000000000001,1.855179279301211
36,1.44,1.8620940811983686
37,1.48,1.862313430667195
38,1.52,1.8660936022061678
39,1.56,3.489897882628152
40,1.6,3.4975447012866065
41,1.6400000000000001,3.4787240075722234
42,1.68,3.4965559545488745
43,1.72,3.4924045081697024
44,1.76,3.5093844428868604
45,1.8,3.506818185921092
46,1.84,3.491976265092022
47,1.8800000000000001,3.500730582010671
48,1.92,3.4602747797454394
49,1.96,3.448326807531091
50,2.0,3.4460887542332683
51,2.04,3.4765168226934184
52,2.08,3.473400979870869
53,2.12,3.4373603596924336
54,2.16,3.425331719524573
55,2.2,3.4182052550085187
56,2.24,3.456961682614446
57,2.2800000000000002,3.448114089085804
58,2.32,3.451620041126222
59,2.36,3.4540671662828406
60,2.4,3.5017742516218227
61,2.44,3.4981274558254234
62,2.48,3.485207119721893
63,2.52,3.521051147395284
64,2.56,3.511297364417673
65,2.6,3.495884306733638
66,2.64,3.4862268686372446
67,2.68,3.4808185381146948
68,2.72,3.4788046284075262
69,2.7600000000000002,3.488103530861696
70,2.8000000000000003,3.4317273186355948
71,2.84,3.4343473676201235
72,2.88,3.411096475004844
73,2.92,3.4047845256158094
74,2.96,3.441171641408253
75,3.0,1.8598470009684829
76,3.04,3.454166405511017
77,3.08,1.8600156702819923
78,3.12,1.85808444670015
79,3.16,1.8659657167641124
80,3.2,1.8618360307963173
81,3.24,1.8677162183649785
82,3.2800000000000002,3.4378335126415274
83,3.3200000000000003,3.418067995500528
84,3.36,3.3956556667359443
85,3.4,3.3822046952368185
86,3.44,3.372871860165186
87,3.48,3.367172139379813
88,3.52,3.3835552740325494
89,3.56,1.8582867490315989
90,3.6,1.8603280118482242
91,3.64,3.369350403969982
92,3.68,3.3483456903832085
93,3.72,3.3368837318719446
94,3.7600000000000002,3.3711751597946398
95,3.8000000000000003,1.8620172112753126
96,3.84,1.8651288408053386
97,3.88,1.8699574833678672
98,3.92,1.869005319648043
99,3.96,1.8621171345574206
100,4.0,1.8649380450455406
101,4.04,1.8622625747068424
102,4.08,1.8589522864141235
103,4.12,1.8557362043273895
104,4.16,1.8577371697453122
105,4.2,1.862498148092149
106,4.24,1.8567887995914698
107,4.28,1.8528970178559387
108,4.32,1.8637396460742006
109,4.36,1.8545254594298326
110,4.4,1.8600736642542837
111,4.44,1.8661938665893123
112,4.48,1.861106849364419
113,4.5200000000000005,1.8591124361045894
114,4.5600000000000005,1.8603682083779427
115,4.6000000000000005,1.8618835718532072
116,4.64,1.8518773328911267
117,4.68,1.8621251327428694
118,4.72,1.8603122352408494
119,4.76,1.8628575267850644
120,4.8,1.8499239294917693
121,4.84,1.8530645834844142
122,4.88,1.8601475384497248
123,4.92,1.86118763383582
124,4.96,1.8652683223464022
125,5.0,1.8612773591434895
126,5.04,1.8646024777110812
127,5.08,1.8600515675858167
128,5.12,1.8631556228250787
129,5.16,1.849150904072078
130,5.2,1.8624775126914488
131,5.24,1.8587186600042405
132,5.28,1.8565161496843208
133,5.32,1.8525847307059145
134,5.36,1.8501454551911618
135,5.4,1.85839630657719
136,5.44,1.8511423363830213
137,5.48,3.4197543236109027
