frame,time_ns,rmsd_nm
0,0.0,0.0
1,0.04,0.10034932
2,0.08,0.10926264
3,0.12,0.11959601
4,0.16,0.12660885
5,0.2,0.13995011
6,0.24,0.1248068
7,0.28,0.13109182
8,0.32,0.14030075
9,0.36,0.13302451
10,0.4,0.13566706
11,0.44,0.1399175
12,0.48,0.13656785
13,0.52,0.14270212
14,0.56,0.14120431
15,0.6,0.14361177
16,0.64,0.13431911
17,0.68,0.14419189
18,0.72,0.14763807
19,0.76,0.13871907
20,0.8,0.15060195
21,0.84,0.14374644
22,0.88,0.14652357
23,0.92,0.14328441
24,0.96,0.13684297
25,1.0,0.13723007
26,1.04,0.1389289
27,1.08,0.13354646
28,1.12,0.13725224
29,1.16,0.13467956
30,1.2,0.1455216
31,1.24,0.1529681
32,1.28,0.14653693
33,1.32,0.14859065
34,1.36,0.15895368
35,1.4000000000000001,0.14972895
36,1.44,0.14974058
37,1.48,0.14913976
38,1.52,0.15031151
39,1.56,2.5208435
40,1.6,2.5242536
41,1.6400000000000001,2.5106807
42,1.68,2.5232694
43,1.72,2.5239437
44,1.76,2.5287504
45,1.8,2.525123
46,1.84,2.5217054
47,1.8800000000000001,2.5288587
48,1.92,2.5141766
49,1.96,2.50784
50,2.0,2.5049613
51,2.04,2.5217438
52,2.08,2.5163276
53,2.12,2.5025883
54,2.16,2.5038736
55,2.2,2.4899116
56,2.24,2.5129974
57,2.2800000000000002,2.5090725
58,2.32,2.5122573
59,2.36,2.510411
60,2.4,2.5386088
61,2.44,2.5341525
62,2.48,2.5332608
63,2.52,2.5554845
64,2.56,2.5428386
65,2.6,2.5305963
66,2.64,2.5306857
67,2.68,2.5175776
68,2.72,2.5262682
69,2.7600000000000002,2.5347185
70,2.8000000000000003,2.5018847
71,2.84,2.5091486
72,2.88,2.4992063
73,2.92,2.4980803
74,2.96,2.5063655
75,3.0,0.14597058
76,3.04,2.5209036
77,3.08,0.15135935
78,3.12,0.14528388
79,3.16,0.13976203
80,3.2,0.14527638
81,3.24,0.15268074
82,3.2800000000000002,2.5139997
83,3.3200000000000003,2.498681
84,3.36,2.4845018
85,3.4,2.480055
86,3.44,2.477565
87,3.48,2.4698136
88,3.52,2.4874656
89,3.56,0.1438991
90,3.6,0.13982423
91,3.64,2.488184
92,3.68,2.472507
93,3.72,2.468169
94,3.7600000000000002,2.4852648
95,3.8000000000000003,0.14254358
96,3.84,0.13714132
97,3.88,0.14519855
98,3.92,0.13949266
99,3.96,0.14142585
100,4.0,0.13943343
101,4.04,0.13796002
102,4.08,0.14133358
103,4.12,0.13618846
104,4.16,0.13969824
105,4.2,0.13999826
106,4.24,0.13549067
107,4.28,0.1358336
108,4.32,0.1415549
109,4.36,0.14234212
110,4.4,0.13729659
111,4.44,0.13793324
112,4.48,0.14308703
113,4.5200000000000005,0.1429411
114,4.5600000000000005,0.13448086
115,4.6000000000000005,0.13658696
116,4.64,0.13368964
117,4.68,0.12950173
118,4.72,0.14140125
119,4.76,0.14245664
120,4.8,0.14837396
121,4.84,0.1562806
122,4.88,0.14430794
123,4.92,0.14637661
124,4.96,0.15302636
125,5.0,0.14573656
126,5.04,0.15144551
127,5.08,0.1477514
128,5.12,0.14846478
129,5.16,0.1534973
130,5.2,0.14815108
131,5.24,0.14980154
132,5.28,0.14676522
133,5.32,0.15295672
134,5.36,0.15520437
135,5.4,0.16141562
136,5.44,0.15741993
137,5.48,2.5105689
