frame,time_ns,rg_nm
0,0.0,1.8554732058614614
1,0.04,1.8493263417670152
2,0.08,1.8587153419404487
3,0.12,1.8560561215139344
4,0.16,1.849633450272299
5,0.2,1.8511672787002285
6,0.24,1.8519260507629436
7,0.28,1.854634931155497
8,0.32,1.8546125670736606
9,0.36,1.851568744429858
10,0.4,1.8534721076497593
11,0.44,1.8558071211137546
12,0.48,1.852506226209673
13,0.52,1.8519555680001876
14,0.56,1.851361991337595
15,0.6,1.859520850853358
16,0.64,1.8541107506991499
17,0.68,1.8551243552235395
18,0.72,1.8566958673109006
19,0.76,1.8642528139355612
20,0.8,1.8602794427911773
21,0.84,1.8547381159723364
22,0.88,1.84968939989836
23,0.92,1.8585201120311305
24,0.96,1.8541561371016884
25,1.0,1.8560069856364594
26,1.04,1.8524328013175069
27,1.08,1.854150959066119
28,1.12,1.8527889072897374
29,1.16,1.854520051709239
30,1.2,1.8632244450740543
31,1.24,1.8548961403830042
32,1.28,1.8614274730609395
33,1.32,1.8546967354989667
34,1.36,1.8569653528914387
35,1.4000000000000001,1.860418068456247
36,1.44,1.8609864532503566
37,1.48,1.85759767504611
38,1.52,1.8481208408823016
39,1.56,1.8521414496737596
40,1.6,1.8509269973002678
41,1.6400000000000001,1.8560523985116362
42,1.68,1.8576850471637998
43,1.72,1.8604718536837621
44,1.76,1.8592293011443612
45,1.8,1.8496101877653834
46,1.84,1.8566634535903404
47,1.8800000000000001,1.857589908326545
48,1.92,1.8565527466004392
49,1.96,1.85034311067778
50,2.0,1.8552822513607752
51,2.04,1.8539466416273616
52,2.08,1.8585298416155611
53,2.12,1.853395564484024
54,2.16,1.8554895210463234
55,2.2,1.8618689002201576
