frame,time_ns,rmsd_nm
0,0.0,0.0
1,0.04,0.10786146
2,0.08,0.12414882
3,0.12,0.12276515
4,0.16,0.119039096
5,0.2,0.12206833
6,0.24,0.1268879
7,0.28,0.12852484
8,0.32,0.12484442
9,0.36,0.12488765
10,0.4,0.13049418
11,0.44,0.13723437
12,0.48,0.13775897
13,0.52,0.13706905
14,0.56,0.13797826
15,0.6,0.1419772
16,0.64,0.14007221
17,0.68,0.142548
18,0.72,0.15429169
19,0.76,0.15576412
20,0.8,0.15457277
21,0.84,0.15926574
22,0.88,0.14867763
23,0.92,0.16074902
24,0.96,0.16878101
25,1.0,0.16052586
26,1.04,0.16313475
27,1.08,0.15069458
28,1.12,0.1468934
29,1.16,0.15067452
30,1.2,0.1532637
31,1.24,0.14815234
32,1.28,0.15709771
33,1.32,0.15400729
34,1.36,0.15445536
35,1.4000000000000001,0.14727661
36,1.44,0.1486108
37,1.48,0.15418386
38,1.52,0.1489084
39,1.56,0.15145078
40,1.6,0.15656894
41,1.6400000000000001,0.15052252
42,1.68,0.15567952
43,1.72,0.16534117
44,1.76,0.15895492
45,1.8,0.16338211
46,1.84,0.16317447
47,1.8800000000000001,0.16157848
48,1.92,0.15658963
49,1.96,0.15713757
50,2.0,0.15915179
51,2.04,0.15466076
52,2.08,0.15731476
53,2.12,0.15558656
54,2.16,0.15294209
55,2.2,0.16130024
