#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
2.5%	50	-443410.47057937295	221.8330515622638	0
5.0%	100	-439935.17571083666	236.28474937803688	135
7.5%	150	-437187.8654856938	248.8939018765187	140
10.0%	200	-435562.3342356938	260.35262560509636	139
12.5%	250	-433697.66248725564	265.9968521989162	139
15.0%	300	-432293.09998725564	271.6477354937106	137
17.5%	350	-430851.64686225564	274.19344813783937	137
20.0%	400	-430205.0800059361	278.22672030418494	137
22.5%	450	-429241.4799172785	283.1012617488673	138
25.0%	500	-428796.6049172785	285.41736739681926	138
27.5%	550	-427959.3392922785	287.5470526258531	138
30.0%	600	-428267.0580422785	290.7424658434252	138
32.5%	650	-427904.2767922785	293.02778015041605	139
35.0%	700	-427293.51724494365	292.1724104710001	139
37.5%	750	-427104.6862624276	290.9395107505983	139
40.0%	800	-426852.7643874276	295.24298595157626	139
42.5%	850	-426610.8425124276	294.46608664374713	139
45.0%	900	-426359.9859063076	296.17623575323154	139
47.5%	950	-426880.8886165768	297.9579362002849	139
50.0%	1000	-426580.4667415768	298.35097668245777	138
52.5%	1050	-426475.5917415768	298.8029765161196	137
55.0%	1100	-426464.2479915768	298.6317386220843	137
57.5%	1150	-426696.1698665768	298.08129831391193	137
60.0%	1200	-426772.9042415768	301.00703316293817	137
62.5%	1250	-426515.4042415768	297.72836199573857	137
65.0%	1300	-426737.9294266333	297.40559397754834	136
67.5%	1350	-427062.30862325383	299.06609655858205	136
70.0%	1400	-426329.4718390554	298.0053201062368	136
72.5%	1450	-426726.6905890554	300.10900157235034	135
75.0%	1500	-426570.7530890554	301.01332915597817	135
77.5%	1550	-426078.4874640554	299.0676705568421	135
80.0%	1600	-425984.4562140554	298.05886883870704	135
82.5%	1650	-426179.3624640554	301.10265355723294	135
85.0%	1700	-426292.1176311453	300.70174308376	134
87.5%	1750	-425468.48815824	298.4791919573865	134
90.0%	1800	-426591.04379554186	300.4212106855464	134
92.5%	1850	-425068.65317054186	299.89683972355516	135
95.0%	1900	-425457.38754554186	299.9927224508932	135
97.5%	1950	-425928.35387157695	301.5312729584078	135
100.0%	2000	-425756.27574657695	299.8470948202133	135
