#"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"
10000	-399780.87964361766	299.90681003725723
20000	-399807.7733406981	300.57775451745783
30000	-399713.09489915567	301.1567588508386
40000	-399578.93535521044	302.14890127736237
50000	-400096.63372803805	300.3996155449317
60000	-400302.22965046065	302.31679541542485
70000	-400814.14525030786	300.1434156743322
80000	-400079.6991907244	298.5803805057254
90000	-400199.8073965453	303.29713916369724
100000	-399059.77268861677	301.64161078522767
110000	-398643.5301052099	296.7259074497776
120000	-399870.28579098824	300.787233729089
130000	-399654.26283131493	302.0127160871003
140000	-400719.54839705396	300.1080723122491
150000	-400041.46513905446	300.2469174723848
160000	-399353.9978170623	302.0773191177932
170000	-398277.3703960206	303.93811289423275
180000	-400855.32666565967	299.12259297857713
