#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1.0%,200,0.4000000000000003,-1502.5299202202207,709.4695557804755,-793.0603644397452,224.84736312209347,0
2.0%,400,0.8000000000000006,-1380.722317976706,749.953075317214,-630.7692426594921,237.67752974950258,497
3.0%,600,1.2000000000000008,-1315.806511174877,774.7512773486169,-541.0552338262601,245.53665533353984,510
4.0%,800,1.6000000000000012,-1352.364527078168,886.8478840234023,-465.5166430547657,281.06267081990245,512
5.0%,1000,2.0000000000000013,-1190.8539158056797,845.5766924883492,-345.2772233173305,267.982872660903,512
6.0%,1200,2.3999999999999573,-1174.3116230473338,929.1492585393127,-245.16236450802114,294.4689578675253,513
7.0%,1400,2.7999999999999132,-1152.5129561413573,909.3409725223316,-243.1719836190257,288.1912524429609,468
8.0%,1600,3.199999999999869,-1237.214308823291,971.30232914198,-265.9119796813111,307.8282439641396,474
9.0%,1800,3.599999999999825,-1202.853198170697,967.8175921827976,-235.03560598789932,306.72384996997545,489
10.0%,2000,3.999999999999781,-1205.299312304371,943.9376264645965,-261.3616858397744,299.15573477822943,481
11.0%,2200,4.3999999999997375,-1177.99224187236,945.4381182522126,-232.55412362014738,299.6312754396757,486
12.0%,2400,4.799999999999693,-1184.8669237962708,972.5525768845025,-212.31434691176833,308.22447648161,491
13.0%,2600,5.199999999999649,-1226.4438996915862,955.1144663672644,-271.3294333243218,302.6979346649998,491
14.0%,2800,5.599999999999605,-1239.3878091046179,922.3612307527088,-317.02657835190905,292.3176743682097,492
15.0%,3000,5.999999999999561,-1284.865459054451,928.7295873137887,-356.1358717406624,294.33595431907355,490
16.0%,3200,6.399999999999517,-1215.7163418803284,908.3284661091225,-307.3878757712059,287.8703656687513,482
17.0%,3400,6.799999999999473,-1195.117778754595,952.0439310641235,-243.07384769047155,301.7248107858151,473
18.0%,3600,7.199999999999429,-1194.5744202536075,972.321175060013,-222.25324519359447,308.1511398745151,470
19.0%,3800,7.599999999999385,-1215.653728150103,907.6370695239087,-308.01665862619427,287.6512460493253,469
20.0%,4000,7.999999999999341,-1300.3385467889573,952.6092559068487,-347.72929088210856,301.9039753449686,467
